dataset,parameter_modified,parameter_value1,parameter_value2,total_cost,execution_time,is_feasible,error
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.05,0.95,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.05, ""parameter_value2"": 0.95, ""total_cost"": 927.08604227199, ""execution_time"": 16.450938940048218, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.05,1.0,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.05, ""parameter_value2"": 1.0, ""total_cost"": 924.9375025716045, ""execution_time"": 49.6667218208313, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.05,1.05,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.05, ""parameter_value2"": 1.05, ""total_cost"": 946.5003807648242, ""execution_time"": 70.27237582206726, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.05,1.1,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.05, ""parameter_value2"": 1.1, ""total_cost"": 920.9836126983188, ""execution_time"": 47.73835325241089, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.05,1.25,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.05, ""parameter_value2"": 1.25, ""total_cost"": 915.7240890769134, ""execution_time"": 61.5868182182312, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.1,0.75,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.1, ""parameter_value2"": 0.75, ""total_cost"": 942.9420271491134, ""execution_time"": 79.36267971992493, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.1,0.9,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.1, ""parameter_value2"": 0.9, ""total_cost"": 924.6219974867864, ""execution_time"": 63.30355930328369, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.1,0.95,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.1, ""parameter_value2"": 0.95, ""total_cost"": 923.9810406395784, ""execution_time"": 70.56070828437805, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.1,1.0,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.1, ""parameter_value2"": 1.0, ""total_cost"": 909.3961964592332, ""execution_time"": 44.796226978302, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.1,1.05,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.1, ""parameter_value2"": 1.05, ""total_cost"": 919.9810338304375, ""execution_time"": 62.45833086967468, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.1,1.1,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.1, ""parameter_value2"": 1.1, ""total_cost"": 915.2951266034323, ""execution_time"": 73.92481207847595, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.1,1.25,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.1, ""parameter_value2"": 1.25, ""total_cost"": 907.7846311581703, ""execution_time"": 52.569125175476074, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.25,0.75,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.25, ""parameter_value2"": 0.75, ""total_cost"": 942.9419403029619, ""execution_time"": 141.61393785476685, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.25,0.9,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.25, ""parameter_value2"": 0.9, ""total_cost"": 923.9355015197491, ""execution_time"": 65.24785876274109, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_x/Customer_50/C101_C50x.txt,vehicle_capacity,1.25,0.95,,,,"Failed to decode JSON from script output. Stdout: 'Set parameter Username
Set parameter LicenseID to value 2703660
Academic license - for non-commercial use only - expires 2026-09-05
{""dataset"": null, ""parameter_modified"": ""vehicle_capacity"", ""parameter_value1"": 1.25, ""parameter_value2"": 0.95, ""total_cost"": 919.2946186768585, ""execution_time"": 76.4464020729065, ""is_feasible"": true, ""error"": null}
'. Stderr: ''."
