dataset,parameter_modified,parameter_value1,parameter_value2,total_cost,execution_time,is_feasible,error,dataset_name
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.0,0.8,767.0637209137009,10.925029039382936,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.0,0.9,799.3111753149728,15.544831037521362,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.0,1.0,758.9289588172308,59.34186816215515,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.0,1.1,758.9290348082119,86.1115050315857,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.0,1.2,752.5807921387877,8.074343919754028,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.1,0.8,792.3244298954146,11.29319190979004,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.1,0.9,760.0800392556331,10.944949865341188,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.1,1.0,782.7333923974007,15.567156791687012,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.1,1.1,777.7465248036489,11.937836170196531,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.1,1.2,741.2287240748361,79.62009787559509,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.2,0.8,758.9290193416211,74.76134395599365,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.2,0.9,760.5728383801389,12.249418020248411,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.2,1.0,774.5937175377109,11.67427134513855,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.2,1.1,755.7055771451656,11.382689952850342,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,vehicle_capacity,1.2,1.2,762.0494787368424,8.02246904373169,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,demand_capacity_factor,0.8,0.0,741.2288240823748,10.778089046478271,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,demand_capacity_factor,0.9,0.0,758.3396814573193,44.17592692375183,True,,R202_C50y.txt
/Users/m.j.j.heule/Documents/4. TU Delft/TU Master/Operations optimisation/operations_optimisation/manilakbay-2E-EVRP-Instances-95ae99e/Type_y/Customer_50/R202_C50y.txt,demand_capacity_factor,1.0,0.0,758.9289588172308,58.589191198349,True,,R202_C50y.txt
